Fahrenheit 451,Ray Bradbury,194,1953,"['classics', 'fiction', 'science-fiction', 'science-fiction', 'dystopia', 'academic', 'school', 'literature', 'novels', 'fantasy', 'adult', 'science-fiction-fantasy']",1813974,3.99,http://www.goodreads.com/book/show/13079982-fahrenheit-451
Divergent,Veronica Roth,487,2011,"['young-adult', 'science-fiction', 'dystopia', 'fiction', 'fantasy', 'science-fiction', 'romance', 'adventure', 'young-adult', 'teen', 'apocalyptic', 'post-apocalyptic', 'action']",3114605,4.18,http://www.goodreads.com/book/show/13335037-divergent
The Perks of Being a Wallflower,Stephen Chbosky,213,1999,"['young-adult', 'fiction', 'contemporary', 'young-adult', 'coming-of-age', 'romance', 'realistic-fiction', 'classics', 'lgbt', 'health', 'mental-health', 'young-adult', 'teen']",1338806,4.2,http://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
The Great Gatsby,F. Scott Fitzgerald,200,1925,"['classics', 'fiction', 'academic', 'school', 'historical', 'historical-fiction', 'literature', 'romance', 'novels', 'academic', 'read-for-school', 'young-adult', 'high-school', 'literature', 'american']",4030101,3.93,http://www.goodreads.com/book/show/4671.The_Great_Gatsby
Lord of the Flies,William Golding,182,1954,"['classics', 'fiction', 'young-adult', 'academic', 'school', 'literature', 'science-fiction', 'dystopia', 'novels', 'academic', 'read-for-school', 'young-adult', 'high-school', 'adventure']",2388573,3.69,http://www.goodreads.com/book/show/7624.Lord_of_the_Flies
The Alchemist,Paulo Coelho,182,1988,"['fiction', 'classics', 'fantasy', 'philosophy', 'novels', 'spirituality', 'literature', 'self-help', 'adventure', 'inspirational']",2281660,3.89,http://www.goodreads.com/book/show/18144590-the-alchemist
Romeo and Juliet,William Shakespeare,301,1597,"['classics', 'plays', 'fiction', 'romance', 'academic', 'school', 'drama', 'academic', 'read-for-school', 'literature', 'young-adult', 'high-school', 'poetry']",2156505,3.75,http://www.goodreads.com/book/show/18135.Romeo_and_Juliet
Crime and Punishment,Fyodor Dostoyevsky,671,1866,"['classics', 'fiction', 'cultural', 'russia', 'literature', 'literature', 'russian-literature', 'novels', 'philosophy', 'mystery', 'crime', 'literature', '19th-century', 'academic', 'school']",677528,4.23,http://www.goodreads.com/book/show/7144.Crime_and_Punishment
Harry Potter and the Sorcerer's Stone,J.K. Rowling,309,1997,"['fantasy', 'fiction', 'young-adult', 'fantasy', 'magic', 'childrens', 'childrens', 'middle-grade', 'adventure', 'classics', 'audiobook', 'science-fiction-fantasy']",7618083,4.48,http://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
City of Bones,Cassandra Clare,485,2007,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fantasy', 'urban-fantasy', 'fiction', 'paranormal', 'vampires', 'fantasy', 'supernatural', 'paranormal', 'angels', 'fantasy', 'magic', 'young-adult', 'young-adult-fantasy']",1713287,4.09,http://www.goodreads.com/book/show/256683.City_of_Bones
The Little Prince,Antoine de Saint-Exupéry,93,1943,"['classics', 'fiction', 'fantasy', 'childrens', 'cultural', 'france', 'young-adult', 'philosophy', 'literature', 'childrens', 'middle-grade', 'european-literature', 'french-literature']",1511703,4.31,http://www.goodreads.com/book/show/157993.The_Little_Prince
The Help,Kathryn Stockett,464,2009,"['fiction', 'historical', 'historical-fiction', 'historical', 'adult', 'adult-fiction', 'contemporary', 'classics', 'audiobook', 'book-club', 'womens-fiction', 'chick-lit']",2288746,4.46,http://www.goodreads.com/book/show/4667024-the-help
Ender's Game,Orson Scott Card,324,1985,"['science-fiction', 'fiction', 'young-adult', 'fantasy', 'classics', 'science-fiction-fantasy', 'science-fiction', 'dystopia', 'war', 'audiobook', 'adventure']",1189742,4.3,http://www.goodreads.com/book/show/375802.Ender_s_Game
Anne of Green Gables,L.M. Montgomery,320,1908,"['classics', 'fiction', 'young-adult', 'childrens', 'historical', 'historical-fiction', 'childrens', 'middle-grade', 'historical', 'audiobook', 'cultural', 'canada', 'young-adult', 'coming-of-age']",785690,4.26,http://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
The Hitchhiker's Guide to the Galaxy,Douglas Adams,193,1979,"['science-fiction', 'fiction', 'humor', 'fantasy', 'classics', 'humor', 'comedy', 'science-fiction-fantasy', 'audiobook', 'adventure', 'novels']",1529548,4.22,http://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
Charlotte's Web,E.B. White,184,1952,"['classics', 'childrens', 'fiction', 'young-adult', 'fantasy', 'animals', 'childrens', 'middle-grade', 'academic', 'school', 'childrens', 'juvenile', 'childrens', 'chapter-books']",1509521,4.17,http://www.goodreads.com/book/show/24178.Charlotte_s_Web
Of Mice and Men,John Steinbeck,103,1937,"['classics', 'fiction', 'academic', 'school', 'historical', 'historical-fiction', 'literature', 'academic', 'read-for-school', 'novels', 'young-adult', 'high-school', 'literature', 'american', 'classics', 'classic-literature']",2050500,3.88,http://www.goodreads.com/book/show/890.Of_Mice_and_Men
The Time Traveler's Wife,Audrey Niffenegger,500,2003,"['fiction', 'romance', 'fantasy', 'science-fiction', 'time-travel', 'science-fiction', 'contemporary', 'adult', 'womens-fiction', 'chick-lit', 'adult-fiction', 'magical-realism']",1630581,3.98,http://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
