"Understanding China: Learning from China's Past, Present, and Future",Stefan Piech,No encontrado,2020,"['cultural', 'china', 'politics', 'non-fiction']",28,4.21,http://www.goodreads.com/book/show/55692678-understanding-china
PACKFIRE: Simon Pack # 9,John M Vermillion,No encontrado,2020,"['contemporary', 'fiction', 'drama', 'novels']",1128,4.31,http://www.goodreads.com/book/show/56040881-packfire
The Rising,C.M. Meridian,No encontrado,2014,"['shapeshifters', 'werewolves', 'fantasy', 'urban-fantasy', 'paranormal', 'shapeshifters']",58,3.59,http://www.goodreads.com/book/show/23769683-the-rising
Deep World Fire,C.M. Meridian,No encontrado,2016,"['fantasy', 'fantasy', 'epic-fantasy']",53,4.15,http://www.goodreads.com/book/show/29587324-deep-world-fire
Visions,Lauren Klever,No encontrado,2012,"['fantasy', 'young-adult', 'adventure', 'fantasy', 'urban-fantasy', 'fiction', 'action', 'fantasy', 'paranormal', 'suspense', 'science-fiction', 'fantasy', 'magic']",138,4.37,http://www.goodreads.com/book/show/13583266-visions
Betrayal In Black,Mark M. Bello,No encontrado,No encontrado,"['contemporary', 'novels', 'epic', 'fiction']",929,4.39,http://www.goodreads.com/book/show/44597035-betrayal-in-black
Betrayal High,Mark M. Bello,No encontrado,2020,"['fiction', 'epic', 'contemporary', 'drama']",780,4.35,http://www.goodreads.com/book/show/54415724-betrayal-high
The Bridge To Caracas,Stephen Douglass,No encontrado,2011,"['thriller', 'mystery', 'crime', 'romance', 'drama', 'contemporary', 'fiction', 'business', 'amazon', 'mystery', 'suspense', 'thriller', 'mystery-thriller']",5114,3.62,http://www.goodreads.com/book/show/22842297-the-bridge-to-caracas
Stepping Beyond Intention,Daniel Mangena,No encontrado,2019,"['epic', 'novels', 'fiction', 'book-club', 'contemporary']",434,4.36,http://www.goodreads.com/book/show/41574189-stepping-beyond-intention
Whispers,Lauren Klever,No encontrado,2013,"['young-adult', 'action', 'fantasy', 'suspense', 'adventure']",72,4.39,http://www.goodreads.com/book/show/17214485-whispers
Shadows of Atlantis: Awakening,Mara Powers,No encontrado,2018,"['fiction', 'novels', 'book-club', 'fantasy', 'contemporary', 'adventure', 'adult', 'drama', 'fantasy', 'magic', 'young-adult']",547,4.36,http://www.goodreads.com/book/show/42967379-shadows-of-atlantis
The Fyfield Plantation,Andrew R.  Williams,No encontrado,2020,"['book-club', 'drama', 'contemporary', 'young-adult', 'epic', 'new-adult']",812,4.3,http://www.goodreads.com/book/show/41831457-the-fyfield-plantation
A Woman to Blame,Vincent Panettiere,No encontrado,2014,"['fiction', 'contemporary', 'novels', 'drama', 'epic']",1221,4.39,http://www.goodreads.com/book/show/52841333-a-woman-to-blame
Origins,Angelo Tsanatelis,No encontrado,2011,"['fantasy', 'fantasy', 'dark-fantasy', 'fiction']",56,3.88,http://www.goodreads.com/book/show/11390271-origins
The Wheel of Time: Boxed Set,Robert Jordan,No encontrado,1990,"['fantasy', 'fantasy', 'epic-fantasy', 'fiction', 'fantasy', 'high-fantasy', 'science-fiction-fantasy', 'epic', 'science-fiction']",10127,4.39,http://www.goodreads.com/book/show/1111600.The_Wheel_of_Time
Control,M.S. Willis,No encontrado,2013,"['romance', 'new-adult', 'dark', 'romance', 'contemporary-romance', 'suspense', 'contemporary', 'sociology', 'abuse', 'adult-fiction', 'erotica', 'romance', 'erotic-romance', 'romance', 'm-f-romance']",947,3.86,http://www.goodreads.com/book/show/17912005-control
Big Money: A Global Financial Thriller (Financial Conspiracy Series Book 1),James  Hudson,No encontrado,2020,[],40,4.15,http://www.goodreads.com/book/show/53052896-big-money
Manifesto of the Free People's Union,Jakub Lasak,No encontrado,2020,[],23,4.26,http://www.goodreads.com/book/show/53293947-manifesto-of-the-free-people-s-union
